id,Dept,Commune,Adresse,Date vente,Année construct.,Nb Pièces,N° etg,Surface Carrez(m²),Surface utile(m²),Prix(€),Prix/m²(€) Surface Carrez,Prix/m²(€) Surface utile
1.0,44.0,NANTES, RUE AMIRAL RONARCH,2021-01-01,1920,1,0,15,14.0,96000,"6438,63","6857,14"
2.0,44.0,NANTES, RUE ARMAND BROSSARD,2021-01-01,1914,2,3,14,18.0,66000,"4870,85","3666,67"
3.0,44.0,NANTES, RUE BEAUREGARD,2021-01-01,1870,1,6,20,20.0,122565,"6221,57","6128,25"
4.0,44.0,NANTES, RUE BEAUSOLEIL,2021-01-01,1880,1,3,15,17.0,80000,"5405,41","4705,88"
5.0,44.0,NANTES, RUE DES CARMES,2021-01-01,1850,1,2,0,19.0,106000,,"5578,95"
6.0,44.0,NANTES, RUE DU CHATEAU,2021-01-01,1750,2,0,20,19.0,100000,"4980,08","5263,16"
7.0,44.0,NANTES, RUE DU CHER,2021-01-01,2009,1,2,19,19.0,70000,"3621,31","3684,21"
8.0,44.0,NANTES, RUE DU CHER,2021-01-01,2009,1,1,19,19.0,87000,"4489,16","4578,95"
9.0,44.0,NANTES, RUE DU CHER,2021-01-01,2009,1,1,19,19.0,94000,"4878,05","4947,37"
10.0,44.0,NANTES, RUE DU CHER,2021-01-01,2009,1,1,19,21.0,83000,"4322,92","3952,38"
11.0,44.0,NANTES, RUE DE COULMIERS,2021-01-01,1875,1,2,0,20.0,75000,,"3750,00"
12.0,44.0,NANTES, RUE FOURE,2021-01-01,1993,1,4,16,16.0,99500,"6207,11","6218,75"
13.0,44.0,NANTES, RUE FOURE,2021-01-01,1993,1,3,16,17.0,99000,"6152,89","5823,53"
14.0,44.0,NANTES, RUE FOURE,2021-01-01,1993,1,1,15,18.0,94050,"6107,14","5225,00"
15.0,44.0,NANTES, RUE JEAN EMILE LABOUREUR,2021-01-01,1989,1,1,16,17.0,97000,"6051,15","5705,88"
16.0,44.0,NANTES, RUE LAMBERT,2021-01-01,1870,1,4,11,9.0,75000,"6550,22","8333,33"
17.0,44.0,NANTES, RUE LEON BLUM,2021-01-01,1880,1,4,0,19.0,122000,,"6421,05"
18.0,44.0,NANTES, RUE DES PETITES ECURIES,2021-01-01,2009,1,3,0,20.0,86000,,"4300,00"
19.0,44.0,NANTES, RUE PITRE CHEVALIER,2021-01-01,1992,1,1,0,18.0,75000,,"4166,67"
20.0,44.0,NANTES, RUE PREFET BONNEFOY,2021-01-01,1994,1,1,19,18.0,96000,"5152,98","5333,33"
21.0,44.0,NANTES, RUE PREFET BONNEFOY,2021-01-01,1994,1,5,18,18.0,134000,"7444,44","7444,44"
22.0,44.0,NANTES, RUE PREFET BONNEFOY,2021-01-01,1994,1,4,19,18.0,115000,"6087,88","6388,89"
23.0,44.0,NANTES, RUE ST-LEONARD,2021-01-01,1860,1,4,15,18.0,62000,"4100,53","3444,44"
24.0,44.0,NANTES, RUE ST-LEONARD,2021-01-01,1800,1,5,17,14.0,82640,"4895,73","5902,86"
25.0,44.0,NANTES, RUE DES  CROISSANTS,2021-01-01,1858,1,4,12,13.0,89510,"7324,88","6885,38"
26.0,44.0,NANTES, RUE ADOLPHE MOITIE,2021-01-01,1820,2,3,24,23.0,123790,"5108,96","5382,17"
27.0,44.0,NANTES, RUE DE LA BACLERIE,2021-01-01,1870,1,1,22,23.0,98500,"4393,40","4282,61"
28.0,44.0,NANTES, B AV BASCHER,2021-01-01,2004,1,1,23,22.0,90000,"3973,51","4090,91"
29.0,44.0,NANTES, RUE BEAUREGARD,2021-01-01,1870,1,6,20,20.0,122565,"6221,57","6128,25"
30.0,44.0,NANTES, RUE DE LA BLETERIE,2021-01-01,1800,1,4,21,24.0,122000,"5779,25","5083,33"
31.0,44.0,NANTES, RUE DES CARMES,2021-01-01,1990,2,1,21,21.0,120000,"5822,42","5714,29"
32.0,44.0,NANTES, RUE DU CHATEAU,2021-01-01,1750,2,0,20,19.0,100000,"4980,08","5263,16"
33.0,44.0,NANTES, RUE DU CHER,2021-01-01,2009,1,1,19,21.0,83000,"4322,92","3952,38"
34.0,44.0,NANTES, RUE DE COLMAR,2021-01-01,2014,1,1,25,25.0,110000,"4366,81","4400,00"
35.0,44.0,NANTES, RUE DE COULMIERS,2021-01-01,1880,1,3,20,25.0,66000,"3300,00","2640,00"
36.0,44.0,NANTES, RUE DE COULMIERS,2021-01-01,1900,1,2,0,22.0,95000,,"4318,18"
