id,Dept,Commune,Adresse,Date vente,Année construct.,Nb Pièces,Surface terrain(m²),Surface utile(m²),Prix(€),Prix/m²(€) Surface utile
1.0,44.0,BOUGUENAIS, RUE DES ACACIAS,2021-01-01,1955,3,269,48.0,213000,"4437,50"
2.0,44.0,BOUGUENAIS, RUE DE LA CADOIRE,2021-01-01,1962,3,361,50.0,405000,"8100,00"
3.0,44.0,BOUGUENAIS, T RUE PASTEUR,2021-01-01,1820,1,91,30.0,150000,"5000,00"
4.0,44.0,NANTES, B RUE NICOLAS APPERT,2021-01-01,1925,1,142,44.0,155000,"3522,73"
5.0,44.0,NANTES, AV DU BOUT DES LANDES,2021-01-01,1850,1,154,31.0,175000,"5645,16"
6.0,44.0,NANTES, RUE EDGAR QUINET,2021-01-01,1926,2,161,50.0,270000,"5400,00"
7.0,44.0,NANTES, RUE DE LA FEDERATION,2021-01-01,1901,2,296,35.0,335000,"9571,43"
8.0,44.0,NANTES, RUE DU FONTENY,2021-01-01,1932,2,87,50.0,265000,"5300,00"
9.0,44.0,NANTES, A IMP FRABOULET,2021-01-01,1870,1,21,27.0,210000,"7777,78"
10.0,44.0,NANTES, AV DE LA FREGATE,2021-01-01,1987,2, ,34.0,218000,"6411,76"
11.0,44.0,NANTES, IMP JEAN MARIE MUSTIERE,2021-01-01,1954,2,121,40.0,130000,"3250,00"
12.0,44.0,NANTES, RUE DU KIRIOL,2021-01-01,1940,4,63,48.0,150000,"3125,00"
13.0,44.0,NANTES, RUE LUCIEN BAGRIN,2021-01-01,1890,2,54,43.0,260000,"6046,51"
14.0,44.0,NANTES, RUE MARCEL SCHWOB,2021-01-01,1900,2,96,45.0,120000,"2666,67"
15.0,44.0,NANTES, RUE MAL JOFFRE,2021-01-01,1946,3,69,47.0,490000,"10425,53"
16.0,44.0,NANTES, RUE MAL JOFFRE,2021-01-01,1866,3, ,50.0,325000,"6500,00"
17.0,44.0,NANTES, RUE DE NANCY,2021-01-01,1930,2,167,42.0,243325,"5793,45"
18.0,44.0,NANTES, B RUE DE NANCY,2021-01-01,1930,2,45,49.0,135261,"2760,43"
19.0,44.0,NANTES, B RUE DE L OUCHETTE,2021-01-01,2011,2,41,40.0,190000,"4750,00"
20.0,44.0,NANTES, AV D OUESSANT,2021-01-01,1987,2, ,27.0,180000,"6666,67"
21.0,44.0,NANTES, RUE DES PIBALLIERS,2021-01-01,1850,2,77,50.0,210000,"4200,00"
22.0,44.0,NANTES, RUE DU PLESSIS TISON,2021-01-01,1935,3,243,48.0,310000,"6458,33"
23.0,44.0,NANTES, RUE DE PROVENCE,2021-01-01,1900,2,154,40.0,310336,"7758,40"
24.0,44.0,NANTES, RUE DES REINETTES,2021-01-01,1960,2,205,38.0,193000,"5078,95"
25.0,44.0,NANTES, RUE RENE GUY CADOU,2021-01-01,1954,3,267,50.0,200000,"4000,00"
26.0,44.0,ORVAULT, CHE DE SAINT MICHEL,2021-01-01,1860,2,293,45.0,310000,"6888,89"
27.0,44.0,REZE, RUE EMILE ZOLA,2021-01-01,1969,2,175,50.0,191430,"3828,60"
28.0,44.0,REZE, RUE DES FRERES BREGEON,2021-01-01,1900,3,89,50.0,220000,"4400,00"
29.0,44.0,REZE, GRAND RUE,2021-01-01,1870,2,25,40.0,208700,"5217,50"
30.0,44.0,REZE, RUE MADAME CURIE,2021-01-01,1925,2,342,50.0,190000,"3800,00"
31.0,44.0,ST-HERBLAIN, AV DES PLANTES,2021-01-01,1985,2, ,32.0,120000,"3750,00"
32.0,44.0,ST SEBASTIEN SUR LOIRE, RUE JEAN BAPTISTE LULLI,2021-01-01,1988,3, ,33.0,130150,"3943,94"
33.0,44.0,ST SEBASTIEN SUR LOIRE, RUE JEAN PHILIPPE RAMEAU,2021-01-01,1988,2, ,33.0,119000,"3606,06"
34.0,44.0,ST SEBASTIEN SUR LOIRE, RUE MAURICE DANIEL,2021-01-01,1936,1,371,50.0,264000,"5280,00"
35.0,44.0,ST SEBASTIEN SUR LOIRE, RUE DE LA SAVARIERE,2021-01-01,1879,3,701,44.0,376000,"8545,45"
36.0,44.0,VERTOU, RUE DU BOIS HARDY,2021-01-01,1962,2,275,50.0,265960,"5319,20"
37.0,44.0,BOUGUENAIS, RUE DE LA CADOIRE,2021-01-01,1962,3,361,50.0,405000,"8100,00"
38.0,44.0,NANTES, RUE ALBERT DORY,2021-01-01,1957,1,435,54.0,535000,"9907,41"
